Sr No._x,Date of Encashment,Name of the Political Party,Account no. of Political Party,Prefix,Bond Number,Denominations_x,Pay Branch Code,Pay Teller,Prefix_BondNumber_x,Sr No._y,Reference No  (URN),Journal Date,Date of Purchase,Date of Expiry,Name of the Purchaser,Denominations_y,Issue Branch Code,Issue Teller,Status,Prefix_BondNumber_y
888,2019-04-16,BHARATIYA JANATA PARTY,*******8244,OC,5494,10000000,691,4567455,OC_5494,145,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid,OC_5494
889,2019-04-16,BHARATIYA JANATA PARTY,*******8244,OC,5516,10000000,691,4567455,OC_5516,146,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid,OC_5516
890,2019-04-16,BHARATIYA JANATA PARTY,*******8244,OC,5506,10000000,691,4567455,OC_5506,148,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid,OC_5506
891,2019-04-16,BHARATIYA JANATA PARTY,*******8244,OC,5511,10000000,691,4567455,OC_5511,149,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid,OC_5511
892,2019-04-16,BHARATIYA JANATA PARTY,*******8244,OC,5507,10000000,691,4567455,OC_5507,150,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid,OC_5507
893,2019-04-16,BHARATIYA JANATA PARTY,*******8244,OC,5505,10000000,691,4567455,OC_5505,151,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid,OC_5505
894,2019-04-16,BHARATIYA JANATA PARTY,*******8244,OC,5504,10000000,691,4567455,OC_5504,153,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid,OC_5504
895,2019-04-16,BHARATIYA JANATA PARTY,*******8244,OC,5508,10000000,691,4567455,OC_5508,154,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid,OC_5508
896,2019-04-16,BHARATIYA JANATA PARTY,*******8244,OC,5493,10000000,691,4567455,OC_5493,155,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid,OC_5493
897,2019-04-16,BHARATIYA JANATA PARTY,*******8244,OC,5514,10000000,691,4567455,OC_5514,156,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid,OC_5514
898,2019-04-16,BHARATIYA JANATA PARTY,*******8244,OC,5478,10000000,691,4567455,OC_5478,157,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid,OC_5478
899,2019-04-16,BHARATIYA JANATA PARTY,*******8244,OC,5498,10000000,691,4567455,OC_5498,158,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid,OC_5498
900,2019-04-16,BHARATIYA JANATA PARTY,*******8244,OC,5488,10000000,691,4567455,OC_5488,160,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid,OC_5488
901,2019-04-16,BHARATIYA JANATA PARTY,*******8244,OC,5477,10000000,691,4567455,OC_5477,161,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid,OC_5477
902,2019-04-16,BHARATIYA JANATA PARTY,*******8244,OC,5492,10000000,691,4567455,OC_5492,162,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid,OC_5492
903,2019-04-16,BHARATIYA JANATA PARTY,*******8244,OC,5491,10000000,691,4567455,OC_5491,163,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid,OC_5491
904,2019-04-16,BHARATIYA JANATA PARTY,*******8244,OC,5513,10000000,691,4567455,OC_5513,164,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid,OC_5513
905,2019-04-16,BHARATIYA JANATA PARTY,*******8244,OC,5509,10000000,691,4567455,OC_5509,166,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid,OC_5509
906,2019-04-16,BHARATIYA JANATA PARTY,*******8244,OC,5481,10000000,691,4567455,OC_5481,167,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid,OC_5481
1195,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,7018,10000000,691,5189071,OC_7018,187,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid,OC_7018
1196,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,7052,10000000,691,5189071,OC_7052,188,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid,OC_7052
1197,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,6678,10000000,691,5189071,OC_6678,189,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid,OC_6678
1198,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,6684,10000000,691,5189071,OC_6684,190,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid,OC_6684
1199,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,7002,10000000,691,5189071,OC_7002,191,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid,OC_7002
1200,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,7048,10000000,691,5189071,OC_7048,192,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid,OC_7048
1201,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,7020,10000000,691,5189071,OC_7020,193,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid,OC_7020
1202,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,7008,10000000,691,5189071,OC_7008,194,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid,OC_7008
1203,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,6694,10000000,691,5189071,OC_6694,195,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid,OC_6694
1204,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,7024,10000000,691,5189071,OC_7024,196,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid,OC_7024
1205,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,7006,10000000,691,5189071,OC_7006,197,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid,OC_7006
1206,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,7026,10000000,691,5189071,OC_7026,198,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid,OC_7026
1207,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,7028,10000000,691,5189071,OC_7028,199,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid,OC_7028
1208,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,6690,10000000,691,5189071,OC_6690,200,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid,OC_6690
1209,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,6700,10000000,691,5189071,OC_6700,201,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid,OC_6700
1210,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,7044,10000000,691,5189071,OC_7044,202,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid,OC_7044
1211,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,6698,10000000,691,5189071,OC_6698,203,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid,OC_6698
1212,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,7022,10000000,691,5189071,OC_7022,204,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid,OC_7022
1213,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,6674,10000000,691,5189071,OC_6674,205,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid,OC_6674
1214,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,7004,10000000,691,5189071,OC_7004,206,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid,OC_7004
1215,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,7030,10000000,691,5189071,OC_7030,207,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid,OC_7030
1216,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,6688,10000000,691,5189071,OC_6688,208,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid,OC_6688
1217,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,7046,10000000,691,5189071,OC_7046,209,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid,OC_7046
1218,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,7014,10000000,691,5189071,OC_7014,210,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid,OC_7014
1219,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,6682,10000000,691,5189071,OC_6682,211,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid,OC_6682
1220,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,7036,10000000,691,5189071,OC_7036,212,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid,OC_7036
1221,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,7050,10000000,691,5189071,OC_7050,213,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid,OC_7050
1222,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,6692,10000000,691,5189071,OC_6692,214,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid,OC_6692
1223,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,7038,10000000,691,5189071,OC_7038,215,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid,OC_7038
1224,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,7010,10000000,691,5189071,OC_7010,216,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid,OC_7010
1225,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,7012,10000000,691,5189071,OC_7012,217,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid,OC_7012
1226,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,6676,10000000,691,5189071,OC_6676,218,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid,OC_6676
1227,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,7034,10000000,691,5189071,OC_7034,219,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid,OC_7034
1228,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,6686,10000000,691,5189071,OC_6686,220,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid,OC_6686
1229,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,6680,10000000,691,5189071,OC_6680,221,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid,OC_6680
1230,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,7032,10000000,691,5189071,OC_7032,222,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid,OC_7032
1231,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,7040,10000000,691,5189071,OC_7040,223,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid,OC_7040
1232,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,7016,10000000,691,5189071,OC_7016,224,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid,OC_7016
1233,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,6696,10000000,691,5189071,OC_6696,225,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid,OC_6696
1234,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,7042,10000000,691,5189071,OC_7042,226,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid,OC_7042
1235,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,6699,10000000,691,5189071,OC_6699,227,00300201904120000001159,2019-04-12,2019-04-12,2019-04-26,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,10000000,300,4180496,Paid,OC_6699
1236,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,6683,10000000,691,5189071,OC_6683,228,00300201904120000001159,2019-04-12,2019-04-12,2019-04-26,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,10000000,300,4180496,Paid,OC_6683
1237,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,6687,10000000,691,5189071,OC_6687,229,00300201904120000001159,2019-04-12,2019-04-12,2019-04-26,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,10000000,300,4180496,Paid,OC_6687
1238,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,6695,10000000,691,5189071,OC_6695,230,00300201904120000001159,2019-04-12,2019-04-12,2019-04-26,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,10000000,300,4180496,Paid,OC_6695
1239,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,7001,10000000,691,5189071,OC_7001,231,00300201904120000001159,2019-04-12,2019-04-12,2019-04-26,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,10000000,300,4180496,Paid,OC_7001
1240,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,6697,10000000,691,5189071,OC_6697,232,00300201904120000001159,2019-04-12,2019-04-12,2019-04-26,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,10000000,300,4180496,Paid,OC_6697
1241,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,6691,10000000,691,5189071,OC_6691,233,00300201904120000001159,2019-04-12,2019-04-12,2019-04-26,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,10000000,300,4180496,Paid,OC_6691
1242,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,6693,10000000,691,5189071,OC_6693,234,00300201904120000001159,2019-04-12,2019-04-12,2019-04-26,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,10000000,300,4180496,Paid,OC_6693
1243,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,6685,10000000,691,5189071,OC_6685,235,00300201904120000001159,2019-04-12,2019-04-12,2019-04-26,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,10000000,300,4180496,Paid,OC_6685
1244,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,6689,10000000,691,5189071,OC_6689,236,00300201904120000001159,2019-04-12,2019-04-12,2019-04-26,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,10000000,300,4180496,Paid,OC_6689
1245,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,7007,10000000,691,5189071,OC_7007,237,00300201904120000001160,2019-04-12,2019-04-12,2019-04-26,PIRAMAL ENTERPRISES LTD,10000000,300,4180496,Paid,OC_7007
1246,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,7005,10000000,691,5189071,OC_7005,238,00300201904120000001160,2019-04-12,2019-04-12,2019-04-26,PIRAMAL ENTERPRISES LTD,10000000,300,4180496,Paid,OC_7005
1247,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,7015,10000000,691,5189071,OC_7015,239,00300201904120000001160,2019-04-12,2019-04-12,2019-04-26,PIRAMAL ENTERPRISES LTD,10000000,300,4180496,Paid,OC_7015
1248,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,7013,10000000,691,5189071,OC_7013,240,00300201904120000001160,2019-04-12,2019-04-12,2019-04-26,PIRAMAL ENTERPRISES LTD,10000000,300,4180496,Paid,OC_7013
1249,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,7019,10000000,691,5189071,OC_7019,241,00300201904120000001160,2019-04-12,2019-04-12,2019-04-26,PIRAMAL ENTERPRISES LTD,10000000,300,4180496,Paid,OC_7019
1250,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,7011,10000000,691,5189071,OC_7011,242,00300201904120000001160,2019-04-12,2019-04-12,2019-04-26,PIRAMAL ENTERPRISES LTD,10000000,300,4180496,Paid,OC_7011
1251,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,7021,10000000,691,5189071,OC_7021,243,00300201904120000001160,2019-04-12,2019-04-12,2019-04-26,PIRAMAL ENTERPRISES LTD,10000000,300,4180496,Paid,OC_7021
1252,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,7003,10000000,691,5189071,OC_7003,244,00300201904120000001160,2019-04-12,2019-04-12,2019-04-26,PIRAMAL ENTERPRISES LTD,10000000,300,4180496,Paid,OC_7003
1253,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,7009,10000000,691,5189071,OC_7009,245,00300201904120000001160,2019-04-12,2019-04-12,2019-04-26,PIRAMAL ENTERPRISES LTD,10000000,300,4180496,Paid,OC_7009
1254,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,7017,10000000,691,5189071,OC_7017,246,00300201904120000001160,2019-04-12,2019-04-12,2019-04-26,PIRAMAL ENTERPRISES LTD,10000000,300,4180496,Paid,OC_7017
1255,2019-04-18,BHARATIYA JANATA PARTY,*******8244,OC,7096,10000000,691,5189071,OC_7096,372,00300201904150000001184,2019-04-15,2019-04-15,2019-04-29,PRL DEVELOPERS PRIVATE LIMITED,10000000,300,4180496,Paid,OC_7096
